CAP-07	TARGET-0062	69.5	
CAP-07	TARGET-0063	70.4	这个时候我就讲什么叫硬素材
CAP-08	TARGET-0064	70.7	硬素材就不是尿盆子讓金边了
CAP-08	TARGET-0065	71.7	硬素材就不是屎盆子镶金边了
CAP-08	TARGET-0066	72.7	就是猪来拍都能火
CAP-08	TARGET-0067	73.7	就是猪来拍都能火
CAP-08	TARGET-0068	74.7	比如说1元横穿中国徒步回家
CAP-08	TARGET-0069	75.7	比如说1元横穿中国 健步回家
CAP-08	TARGET-0070	76.7	少爷创业和0元生存
CAP-08	TARGET-0071	77.3	少爷创业和0元生存
CAP-09	TARGET-0072	77.6	少爷创业和0元生存
CAP-09	TARGET-0073	78.4	那么不管拍什么类型的视频
CAP-09	TARGET-0074	79.2	它的本质还是要做IP
CAP-09	TARGET-0075	80	它的本质还是要做IP
CAP-09	TARGET-0076	81	而VLOG就是把IP展示最立体的形式
CAP-09	TARGET-0077	82	而VLOG就是把IP展示最立体的形式
CAP-09	TARGET-0078	83	而VLOG就是把IP展示最立体的形式
CAP-09	TARGET-0079	84	那么如何打造wlog里面的ip呢
CAP-09	TARGET-0080	85.2	那么如何打造wog里面的ip呢
CAP-10	TARGET-0081	85.5	
CAP-10	TARGET-0082	86.5	第一就是刻板行为
CAP-10	TARGET-0083	87.5	他的视频里面会说谢谢和牛肉面
CAP-10	TARGET-0084	88.5	他的视频里面会说谢谢和牛肉面
CAP-10	TARGET-0085	89.5	不要面
CAP-10	TARGET-0086	90.5	第二点就是作风
CAP-10	TARGET-0087	91.5	还是低精力老鼠人
CAP-10	TARGET-0088	92.5	还是低精力老鼠人
CAP-10	TARGET-0089	93.5	一定要做到极致
CAP-10	TARGET-0090	94.5	如果你是中不溜子
CAP-10	TARGET-0091	95.5	那就没有任何意义
CAP-10	TARGET-0092	96.5	那么第=种呢
CAP-10	TARGET-0093	97.5	就是你要找到自己的个人风格
CAP-10	TARGET-0094	98.5	就是你要找到自己的个人风格
CAP-10	TARGET-0095	99.5	比如说气质态美式
CAP-10	TARGET-0096	99.664	比如说气质态美式
CAP-11	TARGET-0097	99.664	比如说气质态美式
CAP-11	TARGET-0098	101.164	就是怎么让我们的IP能立体
CAP-11	TARGET-0099	102.664	这里就有一个指标
CAP-11	TARGET-0100	104.164	用户就会很了解你
CAP-11	TARGET-0101	105.664	他会了解你喜欢的音乐
CAP-11	TARGET-0102	107.164	喜欢的电影
CAP-11	TARGET-0103	108.664	
CAP-11	TARGET-0104	110.164	接下来是这条视频最值钱的部分
CAP-11	TARGET-0105	111.664	接下来是这条视频最值钱的部分
CAP-11	TARGET-0106	111.98	就是我要告诉你
CAP-12	TARGET-0107	111.98	就是我要告诉你
CAP-12	TARGET-0108	112.88	slogsan和标题决定视频的一生
CAP-12	TARGET-0109	113.78	slogan和标题決定视频的一生
CAP-12	TARGET-0110	114.68	slogan和标题决定视频的一生
CAP-12	TARGET-0111	115.58	标题我举两个例子
CAP-12	TARGET-0112	116.48	第一个就是阔夫日记
CAP-12	TARGET-0113	117.38	第二个就是天才交易员
CAP-12	TARGET-0114	118.28	第二个就是天才交易员
CAP-12	TARGET-0115	119.18	他把一个本来看似普通的故事
CAP-12	TARGET-0116	120.08	加上一个莫名其妙的标题
CAP-12	TARGET-0117	120.98	加上一个莫名其妙的标题
CAP-12	TARGET-0118	121.88	这条视频直接就爆了
CAP-12	TARGET-0119	122.78	这条视频直接就爆了
CAP-12	TARGET-0120	123.68	第二就是slogan
CAP-12	TARGET-0121	124.58	我要举两个例子
CAP-12	TARGET-0122	125.48	
CAP-12	TARGET-0123	126.38	二个是彪马野人
CAP-12	TARGET-0124	127.28	池早就是打扮的美美的出门上班了
CAP-12	TARGET-0125	128.18	池早就是打扮的美美的出门上班了
CAP-12	TARGET-0126	129.08	彪马野人就是
CAP-12	TARGET-0127	129.98	彪马野人就是
CAP-12	TARGET-0128	130.88	欢迎收看我独自升级的一天
CAP-12	TARGET-0129	131.78	欢迎收看我独自升级的一天
CAP-12	TARGET-0130	132.167	今天就讲到这里
CAP-13	TARGET-0131	0	创作状态 | 设与赛道
CAP-13	TARGET-0132	10	所以我们第一步还是
CAP-13	TARGET-0133	20	什么是造梦
CAP-13	TARGET-0134	30	
CAP-13	TARGET-0135	40	但是他每天过得像流浪双一样
CAP-13	TARGET-0136	50	
CAP-13	TARGET-0137	60	那公第三种就是固定的
CAP-13	TARGET-0138	70	这个时候我就讲什么叫硬素材
CAP-13	TARGET-0139	80	它的本质还是要做IP
CAP-13	TARGET-0140	90	第二点就是作风
CAP-13	TARGET-0141	100	那么第四点
CAP-13	TARGET-0142	110	接下来是这条视频最值钱的部分
CAP-13	TARGET-0143	120	加上一个莫名其妙的标题
CAP-13	TARGET-0144	130	彪马野人就是
CAP-13	TARGET-0145	134.813	我们下期再见
CAP-14	TARGET-0146	18.45	上学实习打工人和宝妈
CAP-14	TARGET-0147	18.65	第三点就是造梦
CAP-14	TARGET-0148	23.68	比如说言知小资和自由
CAP-14	TARGET-0149	23.92	那么说完用戶
CAP-14	TARGET-0150	48.32	
CAP-14	TARGET-0151	48.55	那么Mlog也分为两种
CAP-14	TARGET-0152	50.9	第一种就是昌常型
CAP-14	TARGET-0153	51.1	那么这种我们主要是拍软素材
CAP-14	TARGET-0154	54.52	但是软素材不代表流水账
CAP-14	TARGET-0155	54.75	那么第一种就是叙事型
CAP-14	TARGET-0156	62.75	
CAP-14	TARGET-0157	62.98	那么第二种呢
CAP-14	TARGET-0158	77.55	少爷创业和0元生存
CAP-14	TARGET-0159	77.78	那么不管拍什么类型的视频
CAP-14	TARGET-0160	92.45	还是低精力老鼠人
CAP-14	TARGET-0161	92.68	而这种作风呢
CAP-14	TARGET-0162	99.75	比如说气质态美式
CAP-14	TARGET-0163	99.98	那么第四点
CAP-14	TARGET-0164	109.78	还有你的穿衣风格等等
CAP-14	TARGET-0165	110.02	接下来是这条视频最值钱的部分
CAP-14	TARGET-0166	118.22	第二个就是天才交易员
CAP-14	TARGET-0167	118.45	他把一个本来看似普通的故事
CAP-14	TARGET-0168	123.02	这条视频直接就爆了
CAP-14	TARGET-0169	123.25	第三就是slogan
CAP-14	TARGET-0170	132.05	欢迎收看我独自升级的一天
CAP-14	TARGET-0171	132.28	今天就讲到这里
CAP-15	TARGET-0172	0	创作状态 | 设与赛道
CAP-15	TARGET-0173	0.8	创作状态 | 两条视频起号2万 | 人设与赛道
CAP-15	TARGET-0174	2.1	作沩人类最强编导
CAP-15	TARGET-0175	131.9	欢迎收看我独自升级的一天
CAP-15	TARGET-0176	133.4	我是人类最强编导
CAP-15	TARGET-0177	134.8	我们下期再见
